Name,Country,Time,TrucChelou,TrucChelou2,City,Date
Yanmei Li,CHN,14.14,,4,Hengelo,Jun 08
Ruth Ndoumbe,ESP,14.15,,1,Alcobendas,Jul 26
Dovilé Dzindzaletaité,LTU,14.15,,1,Padova (Stadio Euganeo),Jul 16
Kseniya Dziatsuk,BLR,14.16,,f,"Brest, BLR",May 31
Anna Jagaciak,POL,14.17,,2,Marseille,Jun 06
Keila Costa,BRA,14.17,,3,Marseille,Jun 06
Cristina Bujin,ROU,14.19,,1,Pitesti,May 23
Iryna Vaskouskaya,BLR,14.19,,1,Grodno,Jun 25
Patrícia Mamona,POR,14.19,,6,Oslo,Jun 11
Gabriela Petrova,BUL,14.19,,1,Plovdiv,Jul 08
Thea Lafond,DMA,14.20,,1,"Philadelphia (Franklin Field), PA",Apr 29
Jenny Elbe,GER,14.20,,f,Ingolstadt,May 24
Anna Jagaciak,POL,14.20,,3,Hengelo,Jun 08
Rouguy Diallo,FRA,14.20,,f,"Eugene, OR",Jul 26
Olha Saladukha,UKR,14.20,,1,Chania (GRE),Jun 02
Yulimar Rojas,VEN,14.20,,f,Toronto,Jul 21
Xiaohong Li,CHN,14.20,,1,Chanthaburi,Jun 29
Darya Nidbaykina,RUS,14.21,,1,Zhukovskiy (Meteor),Jul 30
Yosiry Urrutia,COL,14.22,,f,Toronto,Jul 21
Nubia Soares,BRA,14.22,,1,São Paulo,Oct 12
Natallia Viatkina,BLR,14.22,,1q1,Grodno,Jun 24
Ana José Tima,DOM,14.22,,3,Madrid,Jun 23
Simona La Mantia,ITA,14.22,,3,Cheboksary,Jun 20
Ana Lucia Jose Tima,DOM,14.22,,2,Kingston (JAM),Jun 09
Ana Peleteiro,ESP,14.23,,7,London (Olympic Stadium),Aug 07
